,dp_opt,wopt,evecs,evals,evec_sim,dU,dp_diag,tdr_overall,pca,active,pair,snr1,snr2,cat_cat,tar_tar,cat_tar,ref_tar,ref_ref,ref_cat,aref_tar,aref_cat,aref_ref,f1,f2,DI,site,area
0,0.9984601,"[[0.4630373 ]
 [0.17994196]]","[[-0.12814488 -0.99175546]
 [-0.99175546  0.12814488]]",[12.75370156  1.45759481],0.9887881,[[1.01913708 2.92628599]],0.9983048,True,False,True,REFERENCE_STIM_268,inf,inf,False,False,False,False,False,False,False,False,True,0,268,inf,CRD009b,A1
0,3.9539409,"[[0.7106962 ]
 [1.00963043]]","[[ 0.9073471   0.42038225]
 [-0.42038225  0.9073471 ]]",[18.4430864   2.07194946],0.9583347,[[4.74667402 0.57496064]],2.1384428,False,False,True,REFERENCE_STIM_268,inf,inf,False,False,False,False,False,False,False,False,True,0,268,inf,CRD009b,A1
0,2.1303523,"[[-0.13015496]
 [ 0.77927299]]","[[ 0.99356418  0.11327054]
 [-0.11327054  0.99356418]]",[17.85302741  2.22778106],0.973273,[[-3.66791059  2.12115069]],2.1019197,False,True,True,REFERENCE_STIM_268,inf,inf,False,False,False,False,False,False,False,False,True,0,268,inf,CRD009b,A1
0,1.7853909,"[[0.39534708]
 [0.44361112]]","[[-0.14159249 -0.98992503]
 [-0.98992503  0.14159249]]",[6.52273159 1.72663475],0.9712803,[[1.01885163 3.11667304]],1.7708305,True,False,False,REFERENCE_STIM_268,inf,inf,False,False,False,False,False,False,False,False,True,0,268,inf,CRD009b,A1
0,2.4427307,"[[0.57375902]
 [0.19342243]]","[[ 0.93826589  0.34591489]
 [-0.34591489  0.93826589]]",[8.69143174 3.54024305],0.6083543,[[ 4.30975861 -0.1552674 ]],2.241183,False,False,False,REFERENCE_STIM_268,inf,inf,False,False,False,False,False,False,False,False,True,0,268,inf,CRD009b,A1
0,2.2452915,"[[-0.38836066]
 [ 0.45998577]]","[[ 0.98770501  0.15632915]
 [-0.15632915  0.98770501]]",[8.55833483 3.03123619],0.77809006,[[-3.663825    1.78789441]],2.2421227,False,True,False,REFERENCE_STIM_268,inf,inf,False,False,False,False,False,False,False,False,True,0,268,inf,CRD009b,A1
0,8.730379,"[[1.71026412]
 [0.71272646]]","[[-0.06906858 -0.99761191]
 [-0.99761191  0.06906858]]",[7.91574471 1.19774026],0.9938493,[[2.43318025 6.4105918 ]],8.730067,True,False,True,REFERENCE_STIM_308,inf,inf,False,False,False,False,False,False,False,False,True,0,308,inf,CRD009b,A1
0,9.034693,"[[1.16073355]
 [1.00112212]]","[[ 0.93897318  0.34399037]
 [-0.34399037  0.93897318]]",[10.12269541  1.90020146],0.9999137,[[ 7.96157489 -0.20634252]],6.6257386,False,False,True,REFERENCE_STIM_308,inf,inf,False,False,False,False,False,False,False,False,True,0,308,inf,CRD009b,A1
0,8.873378,"[[-0.76987996]
 [ 1.27856674]]","[[ 0.99979024 -0.02048119]
 [ 0.02048119  0.99979024]]",[10.0725603   1.97351617],0.99293274,[[-7.54000506  2.3999365 ]],8.872127,False,True,True,REFERENCE_STIM_308,inf,inf,False,False,False,False,False,False,False,False,True,0,308,inf,CRD009b,A1
0,2.7714512,"[[0.39428828]
 [0.43701927]]","[[-0.28426621 -0.95874539]
 [-0.95874539  0.28426621]]",[9.32898416 2.17849442],0.9243505,[[1.93843651 4.59281479]],2.7321377,True,False,False,REFERENCE_STIM_308,inf,inf,False,False,False,False,False,False,False,False,True,0,308,inf,CRD009b,A1
0,2.6571577,"[[0.45299821]
 [0.08996211]]","[[ 0.99889102  0.04708222]
 [-0.04708222  0.99889102]]",[13.04430842  2.91753162],0.88576674,[[5.85603375 0.04874081]],2.6414337,False,False,False,REFERENCE_STIM_308,inf,inf,False,False,False,False,False,False,False,False,True,0,308,inf,CRD009b,A1
0,2.6186738,"[[-0.40542703]
 [ 0.19695423]]","[[ 0.95367131  0.30085052]
 [-0.30085052  0.95367131]]",[13.103282   3.0929493],0.87590206,[[-5.51075956  1.95204177]],2.516585,False,True,False,REFERENCE_STIM_308,inf,inf,False,False,False,False,False,False,False,False,True,0,308,inf,CRD009b,A1
0,6.6528835,"[[0.84667896]
 [0.79002864]]","[[-0.072027   -0.99740268]
 [-0.99740268  0.072027  ]]",[8.00547386 1.42366733],0.985182,[[1.60785397 6.69791828]],6.6176724,True,False,True,REFERENCE_STIM_354,inf,inf,False,False,False,False,False,False,False,False,True,0,354,inf,CRD009b,A1
0,7.270492,"[[0.97241446]
 [0.75277226]]","[[ 0.98397315  0.1783167 ]
 [-0.1783167   0.98397315]]",[9.52379043 0.98859079],0.21005237,[[ 7.86983173 -0.50778442]],6.0048065,False,False,True,REFERENCE_STIM_354,inf,inf,False,False,False,False,False,False,False,False,True,0,354,inf,CRD009b,A1
0,7.0123067,"[[-0.83075257]
 [ 0.4415078 ]]","[[ 0.99997885 -0.0065043 ]
 [ 0.0065043   0.99997885]]",[9.44544845 2.69773995],0.0411038,[[-7.82721646  1.15473907]],7.011916,False,True,True,REFERENCE_STIM_354,inf,inf,False,False,False,False,False,False,False,False,True,0,354,inf,CRD009b,A1
0,2.9789,"[[-0.18446477]
 [ 0.60445542]]","[[-0.2746261  -0.96155109]
 [-0.96155109  0.2746261 ]]",[9.70848561 2.0869722 ],0.9391435,[[0.72551598 5.14964726]],2.585461,True,False,False,REFERENCE_STIM_354,inf,inf,False,False,False,False,False,False,False,False,True,0,354,inf,CRD009b,A1
0,4.4354815,"[[0.68815686]
 [1.2663662 ]]","[[ 0.98904366  0.14762329]
 [-0.14762329  0.98904366]]",[11.93208684  0.83308516],0.99819446,[[5.99252742 0.24612352]],3.561239,False,False,False,REFERENCE_STIM_354,inf,inf,False,False,False,False,False,False,False,False,True,0,354,inf,CRD009b,A1
0,3.5399442,"[[-0.60703145]
 [-0.39803117]]","[[ 0.94516197  0.32660196]
 [-0.32660196  0.94516197]]",[12.69450663  3.1522763 ],0.84850526,[[-5.91564887  0.12823292]],2.9118876,False,True,False,REFERENCE_STIM_354,inf,inf,False,False,False,False,False,False,False,False,True,0,354,inf,CRD009b,A1
0,1.9256268,"[[0.1143108 ]
 [0.50134718]]","[[-0.07056184 -0.99750741]
 [-0.99750741  0.07056184]]",[7.41627982 1.7006248 ],0.18297702,[[0.39934573 3.74985104]],1.9054863,True,False,True,REFERENCE_STIM_406,inf,inf,False,False,False,False,False,False,False,False,True,0,406,inf,CRD009b,A1
0,3.2836409,"[[0.74462745]
 [0.37957329]]","[[ 0.85502329  0.51858961]
 [-0.51858961  0.85502329]]",[9.36047305 2.91597812],0.116655305,[[ 4.59487139 -0.3631091 ]],2.551105,False,False,True,REFERENCE_STIM_406,inf,inf,False,False,False,False,False,False,False,False,True,0,406,inf,CRD009b,A1
0,2.1840782,"[[-0.45607342]
 [-0.2776885 ]]","[[ 0.99980774  0.01960819]
 [-0.01960819  0.99980774]]",[9.29333016 3.62430838],0.09482459,[[-4.20658503 -0.95634698]],2.183608,False,True,True,REFERENCE_STIM_406,inf,inf,False,False,False,False,False,False,False,False,True,0,406,inf,CRD009b,A1
0,1.8007815,"[[0.02800906]
 [0.50957729]]","[[-0.12001249 -0.99277238]
 [-0.99277238  0.12001249]]",[6.93585802 1.82229392],0.9967263,[[0.36356665 3.51388969]],1.756603,True,False,False,REFERENCE_STIM_406,inf,inf,False,False,False,False,False,False,False,False,True,0,406,inf,CRD009b,A1
0,3.425397,"[[0.76771525]
 [0.46864664]]","[[ 0.8950927  0.4458801]
 [-0.4458801  0.8950927]]",[8.12549858 2.70050302],0.5749778,[[4.39537443 0.10882592]],2.8246915,False,False,False,REFERENCE_STIM_406,inf,inf,False,False,False,False,False,False,False,False,True,0,406,inf,CRD009b,A1
0,2.3767667,"[[-0.47978553]
 [-0.47740727]]","[[ 0.99944725  0.03324439]
 [-0.03324439  0.99944725]]",[8.06068415 2.64848729],0.98586947,[[-3.7786797  -1.18098493]],2.3757067,False,True,False,REFERENCE_STIM_406,inf,inf,False,False,False,False,False,False,False,False,True,0,406,inf,CRD009b,A1
0,2.5576508,"[[-0.8471777 ]
 [ 0.42695061]]","[[-0.03234215 -0.99947686]
 [-0.99947686  0.03234215]]",[7.48394359 1.84223965],0.28861624,[[-1.4878411   3.03825548]],2.5576494,True,False,True,REFERENCE_STIM_467,inf,inf,False,False,False,False,False,False,False,False,True,0,467,inf,CRD009b,A1
0,3.0559268,"[[0.82501267]
 [0.73522928]]","[[ 0.84674636  0.53199681]
 [-0.53199681  0.84674636]]",[9.40957319 1.92293991],0.49520242,[[3.53537788 0.18932229]],1.8913835,False,False,True,REFERENCE_STIM_467,inf,inf,False,False,False,False,False,False,False,False,True,0,467,inf,CRD009b,A1
0,2.6166747,"[[-0.2649804 ]
 [-0.91237901]]","[[ 0.9988276  -0.04840892]
 [ 0.04840892  0.9988276 ]]",[9.36584298 2.13479791],0.54580843,[[-2.79627579 -2.0558523 ]],2.6140826,False,True,True,REFERENCE_STIM_467,inf,inf,False,False,False,False,False,False,False,False,True,0,467,inf,CRD009b,A1
0,2.0017793,"[[-0.67868319]
 [ 0.43677094]]","[[-0.25248878 -0.96759982]
 [-0.96759982  0.25248878]]",[8.21671874 2.52112307],0.9011886,[[-1.34971396  2.48585935]],1.9995415,True,False,False,REFERENCE_STIM_467,inf,inf,False,False,False,False,False,False,False,False,True,0,467,inf,CRD009b,A1
0,2.149393,"[[0.6451178 ]
 [0.34825257]]","[[ 0.7521071  0.6590409]
 [-0.6590409  0.7521071]]",[9.88865068 3.18360874],0.89555866,[[ 3.34319901 -0.02114569]],1.5912085,False,False,False,REFERENCE_STIM_467,inf,inf,False,False,False,False,False,False,False,False,True,0,467,inf,CRD009b,A1
0,1.7640327,"[[-0.34460482]
 [-0.50184055]]","[[ 0.98492449  0.17298485]
 [-0.17298485  0.98492449]]",[9.88178723 3.6947505 ],0.8461665,[[-2.812507  -1.5838282]],1.763314,False,True,False,REFERENCE_STIM_467,inf,inf,False,False,False,False,False,False,False,False,True,0,467,inf,CRD009b,A1
0,6.9214272,"[[-2.02093583]
 [ 0.29423995]]","[[-0.04422456 -0.99902162]
 [-0.99902162  0.04422456]]",[7.46452547 1.60067149],0.32230315,[[-3.18180213  1.66941797]],6.8909307,True,False,True,REFERENCE_STIM_536,inf,inf,False,False,False,False,False,False,False,False,True,0,536,inf,CRD009b,A1
0,6.4222293,"[[1.64968211]
 [0.57116863]]","[[ 0.41767133 -0.90859818]
 [-0.90859818 -0.41767133]]",[9.45776056 2.03682732],0.56091785,[[3.88722709 0.01670293]],4.549307,False,False,True,REFERENCE_STIM_536,inf,inf,False,False,False,False,False,False,False,False,True,0,536,inf,CRD009b,A1
0,6.0249844,"[[-0.11363045]
 [-1.69023055]]","[[ 0.99950975 -0.03130914]
 [ 0.03130914  0.99950975]]",[9.38350359 2.02840472],0.58308053,[[-1.45447096 -3.46681225]],6.010627,False,True,True,REFERENCE_STIM_536,inf,inf,False,False,False,False,False,False,False,False,True,0,536,inf,CRD009b,A1
0,3.053473,"[[-1.2909687 ]
 [ 0.23315667]]","[[-0.05174104 -0.99866054]
 [-0.99866054  0.05174104]]",[5.86544799 1.70766936],0.7514616,[[-2.16882609  1.08762181]],3.0430417,True,False,False,REFERENCE_STIM_536,inf,inf,False,False,False,False,False,False,False,False,True,0,536,inf,CRD009b,A1
0,3.6717608,"[[1.24507925]
 [0.40207808]]","[[ 0.42404045 -0.90564325]
 [-0.90564325 -0.42404045]]",[7.33356878 2.06221619],0.76343787,[[2.93381442 0.0470787 ]],2.8892395,False,False,False,REFERENCE_STIM_536,inf,inf,False,False,False,False,False,False,False,False,True,0,536,inf,CRD009b,A1
0,3.5590186,"[[-0.10142387]
 [-1.27244898]]","[[ 0.9987684  -0.04961538]
 [ 0.04961538  0.9987684 ]]",[7.30740998 2.09778675],0.78032607,[[-1.06833935 -2.71182858]],3.5461378,False,True,False,REFERENCE_STIM_536,inf,inf,False,False,False,False,False,False,False,False,True,0,536,inf,CRD009b,A1
0,2.3995948,"[[-1.367078  ]
 [-0.03721834]]","[[-0.06215225 -0.99806668]
 [-0.99806668  0.06215225]]",[7.26753682 1.23491081],0.39113957,[[-1.73400474 -0.78120137]],2.3675137,True,False,True,REFERENCE_STIM_616,inf,inf,False,False,False,False,False,False,False,False,True,0,616,inf,CRD009b,A1
0,3.0719988,"[[ 1.32228504]
 [-0.07891904]]","[[-0.13978005 -0.99018258]
 [-0.99018258  0.13978005]]",[9.22408544 1.70196763],0.21791783,[[2.36265922 0.66029959]],2.8850834,False,False,True,REFERENCE_STIM_616,inf,inf,False,False,False,False,False,False,False,False,True,0,616,inf,CRD009b,A1
0,2.5458775,"[[ 0.13084725]
 [-1.16527242]]","[[ 0.99989966 -0.01416549]
 [ 0.01416549  0.99989966]]",[9.15132224 1.78151466],0.27087575,[[ 1.07559318 -2.06401447]],2.5445015,False,True,True,REFERENCE_STIM_616,inf,inf,False,False,False,False,False,False,False,False,True,0,616,inf,CRD009b,A1
0,1.5353944,"[[-0.90832336]
 [ 0.01704925]]","[[-0.09203598 -0.99575568]
 [-0.99575568  0.09203598]]",[5.80431608 1.83898872],0.33282065,[[-1.69471012 -0.2317016 ]],1.5170747,True,False,False,REFERENCE_STIM_616,inf,inf,False,False,False,False,False,False,False,False,True,0,616,inf,CRD009b,A1
0,2.4374077,"[[ 1.08824552]
 [-0.16561138]]","[[-0.17024862 -0.98540114]
 [-0.98540114  0.17024862]]",[7.21704213 2.00945637],0.6767562,[[ 2.20635647 -0.21949089]],2.3169358,False,False,False,REFERENCE_STIM_616,inf,inf,False,False,False,False,False,False,False,False,True,0,616,inf,CRD009b,A1
0,1.9539257,"[[ 0.02989706]
 [-0.94223821]]","[[ 0.99995081 -0.00991883]
 [ 0.00991883  0.99995081]]",[7.18727994 2.19624548],0.68796974,[[ 0.16822042 -2.0683691 ]],1.9536248,False,True,False,REFERENCE_STIM_616,inf,inf,False,False,False,False,False,False,False,False,True,0,616,inf,CRD009b,A1
0,0.2775025,"[[-0.29566535]
 [-0.11318157]]","[[-0.05565748 -0.99844992]
 [-0.99844992  0.05565748]]",[7.32316319 1.85416868],0.024212202,[[-0.58762047 -0.91678782]],0.27740094,True,False,True,REFERENCE_STIM_707,inf,inf,False,False,False,False,False,False,False,False,True,0,707,inf,CRD009b,A1
0,1.0016998,"[[ 0.61414556]
 [-0.49445031]]","[[ 0.72643305 -0.68723724]
 [ 0.68723724  0.72643305]]",[9.43363226 1.46643908],0.64154243,[[ 1.51601163 -0.14288178]],0.47691622,False,False,True,REFERENCE_STIM_707,inf,inf,False,False,False,False,False,False,False,False,True,0,707,inf,CRD009b,A1
0,0.5018899,"[[ 0.11850608]
 [-0.46879169]]","[[ 0.99996707 -0.00811494]
 [ 0.00811494  0.99996707]]",[9.35817804 1.71661388],0.9943871,[[ 1.07987211 -0.7976218 ]],0.50186026,False,True,True,REFERENCE_STIM_707,inf,inf,False,False,False,False,False,False,False,False,True,0,707,inf,CRD009b,A1
0,0.6505426,"[[-0.53790917]
 [-0.12747722]]","[[-0.0973789  -0.99524738]
 [-0.99524738  0.0973789 ]]",[5.71607232 1.7072628 ],0.30581293,[[-0.98832768 -0.93281054]],0.6472886,True,False,False,REFERENCE_STIM_707,inf,inf,False,False,False,False,False,False,False,False,True,0,707,inf,CRD009b,A1
0,0.93366325,"[[ 0.59865824]
 [-0.42892836]]","[[ 0.7509673 -0.6603394]
 [ 0.6603394  0.7509673]]",[7.12457008 1.43100998],0.69312274,[[1.56787843 0.01156395]],0.5240343,False,False,False,REFERENCE_STIM_707,inf,inf,False,False,False,False,False,False,False,False,True,0,707,inf,CRD009b,A1
0,0.46762627,"[[ 0.16560498]
 [-0.35855751]]","[[ 0.99996201  0.00871703]
 [-0.00871703  0.99996201]]",[7.08407526 2.08560548],0.7044126,[[ 1.18871766 -0.75516114]],0.46762478,False,True,False,REFERENCE_STIM_707,inf,inf,False,False,False,False,False,False,False,False,True,0,707,inf,CRD009b,A1
0,0.46117535,"[[-0.05485072]
 [-0.24681027]]","[[-0.05386639 -0.99854815]
 [-0.99854815  0.05386639]]",[7.37694418 1.3385446 ],0.4579776,[[-0.15454381 -1.83419646]],0.45699078,True,False,True,REFERENCE_STIM_812,inf,inf,False,False,False,False,False,False,False,False,True,0,812,inf,CRD009b,A1
0,2.1608293,"[[ 0.84936662]
 [-1.71849481]]","[[ 0.94602975 -0.3240798 ]
 [ 0.3240798   0.94602975]]",[9.29018938 0.44160634],0.822327,[[ 2.4393517 -0.0517461]],0.77886605,False,False,True,REFERENCE_STIM_812,inf,inf,False,False,False,False,False,False,False,False,True,0,812,inf,CRD009b,A1
0,0.6285486,"[[0.24868404]
 [0.1691682 ]]","[[ 0.9999199  -0.01265647]
 [ 0.01265647  0.9999199 ]]",[9.22974993 1.74057323],0.9510996,[[2.31102671 0.31822261]],0.62831384,False,True,True,REFERENCE_STIM_812,inf,inf,False,False,False,False,False,False,False,False,True,0,812,inf,CRD009b,A1
0,0.41677198,"[[-0.16519012]
 [-0.23706092]]","[[-0.15423718 -0.98803385]
 [-0.98803385  0.15423718]]",[5.76762457 1.73139038],0.65078676,[[-0.44768319 -1.44612261]],0.41219297,True,False,False,REFERENCE_STIM_812,inf,inf,False,False,False,False,False,False,False,False,True,0,812,inf,CRD009b,A1
0,0.84239256,"[[ 0.50973797]
 [-0.84410957]]","[[ 0.95444109 -0.2983994 ]
 [ 0.2983994   0.95444109]]",[7.15127845 0.48914749],0.98662627,[[1.74127759 0.05355081]],0.41996372,False,False,False,REFERENCE_STIM_812,inf,inf,False,False,False,False,False,False,False,False,True,0,812,inf,CRD009b,A1
0,0.40258238,"[[ 0.23611324]
 [-0.03814193]]","[[ 0.99913076  0.04168594]
 [-0.04168594  0.99913076]]",[7.10729804 2.11915201],0.6828956,[[ 1.68400471 -0.13021283]],0.40151998,False,True,False,REFERENCE_STIM_812,inf,inf,False,False,False,False,False,False,False,False,True,0,812,inf,CRD009b,A1
0,1.489002,"[[ 0.36486956]
 [-0.43712836]]","[[-0.07799199 -0.99695399]
 [-0.99695399  0.07799199]]",[7.49442629 1.55089062],0.49618796,[[ 0.37705107 -3.09160332]],1.4686081,True,False,True,REFERENCE_STIM_933,inf,inf,False,False,False,False,False,False,False,False,True,0,933,inf,CRD009b,A1
0,1.5720992,"[[ 0.46286307]
 [-0.40660618]]","[[ 0.96931007 -0.24584141]
 [ 0.24584141  0.96931007]]",[9.44320383 1.64315357],0.62746257,[[3.39693862e+00 5.36755328e-04]],1.2858076,False,False,True,REFERENCE_STIM_933,inf,inf,False,False,False,False,False,False,False,False,True,0,933,inf,CRD009b,A1
0,1.3607028,"[[0.35230817]
 [0.31726833]]","[[ 0.99999946 -0.00103544]
 [ 0.00103544  0.99999946]]",[9.35865488 1.96091922],0.5687928,[[3.29955799 0.62483874]],1.3607006,False,True,True,REFERENCE_STIM_933,inf,inf,False,False,False,False,False,False,False,False,True,0,933,inf,CRD009b,A1
0,1.2310165,"[[ 0.26947662]
 [-0.47826975]]","[[-0.09552295 -0.99542723]
 [-0.99542723  0.09552295]]",[5.42694746 1.3230653 ],0.8195351,[[ 0.17999456 -2.47247953]],1.2074721,True,False,False,REFERENCE_STIM_933,inf,inf,False,False,False,False,False,False,False,False,True,0,933,inf,CRD009b,A1
0,1.3344988,"[[ 0.48755413]
 [-0.36598019]]","[[ 0.97205693 -0.23474525]
 [ 0.23474525  0.97205693]]",[6.96290241 1.29437764],0.9999797,[[2.7691097  0.04260352]],1.1262435,False,False,False,REFERENCE_STIM_933,inf,inf,False,False,False,False,False,False,False,False,True,0,933,inf,CRD009b,A1
0,1.191989,"[[0.38959627]
 [0.28031487]]","[[ 0.99997708  0.00677061]
 [-0.00677061  0.99997708]]",[6.95227207 1.83666562],0.908909,[[2.69877922 0.50141676]],1.1919227,False,True,False,REFERENCE_STIM_933,inf,inf,False,False,False,False,False,False,False,False,True,0,933,inf,CRD009b,A1
0,1.8457402,"[[ 0.5064014 ]
 [-0.48440238]]","[[-0.05650704 -0.9984022 ]
 [-0.9984022   0.05650704]]",[7.2730136  1.19681833],0.69696313,[[ 0.44984271 -3.34007291]],1.8297426,True,False,True,REFERENCE_STIM_1072,inf,inf,False,False,False,False,False,False,False,False,True,0,1072,inf,CRD009b,A1
0,2.0316112,"[[ 0.55631111]
 [-0.46150795]]","[[ 0.96023203 -0.27920322]
 [ 0.27920322  0.96023203]]",[9.19455417 1.45456627],0.59647125,[[3.82170274 0.20464322]],1.5545124,False,False,True,REFERENCE_STIM_1072,inf,inf,False,False,False,False,False,False,False,False,True,0,1072,inf,CRD009b,A1
0,1.9298449,"[[0.40083671]
 [0.49571745]]","[[ 0.99990893 -0.01349538]
 [ 0.01349538  0.99990893]]",[9.13749678 1.71652554],0.4476023,[[3.71174336 0.89172132]],1.929498,False,True,True,REFERENCE_STIM_1072,inf,inf,False,False,False,False,False,False,False,False,True,0,1072,inf,CRD009b,A1
