,dp_opt,wopt,evecs,evals,evec_sim,dU,dp_diag,tdr_overall,pca,active,pair,snr1,snr2,cat_cat,tar_tar,cat_tar,ref_tar,ref_ref,ref_cat,aref_tar,aref_cat,aref_ref,f1,f2,DI,site,area
0,0.9384088,"[[0.5743681 ]
 [0.22307182]]","[[-0.12860974 -0.99169528]
 [-0.99169528  0.12860974]]",[6.3750132  1.31002364],0.92887574,[[0.94465858 1.77443766]],0.93770534,True,False,True,REFERENCE_STIM_268,inf,inf,False,False,False,False,False,False,False,False,True,0,268,inf,CRD009b,A1
0,1.4397583,"[[0.43693043]
 [0.47506737]]","[[ 0.91228811  0.40954902]
 [-0.40954902  0.91228811]]",[16.90604511  1.96258832],0.88766336,[[ 3.63918016 -0.31639781]],0.7772843,False,False,True,REFERENCE_STIM_268,inf,inf,False,False,False,False,False,False,False,False,True,0,268,inf,CRD009b,A1
0,1.3532327,"[[-0.14275354]
 [ 0.60982867]]","[[ 0.99443646  0.10533818]
 [-0.10533818  0.99443646]]",[16.21871737  1.89749938],0.92704135,[[-3.20744585  1.4682132 ]],1.3474909,False,True,True,REFERENCE_STIM_268,inf,inf,False,False,False,False,False,False,False,False,True,0,268,inf,CRD009b,A1
0,1.0838187,"[[0.53217116]
 [0.31799851]]","[[-0.07388319 -0.9972669 ]
 [-0.9972669   0.07388319]]",[4.99867    1.74410152],0.96442205,[[1.01387124 1.71153515]],1.0838186,True,False,False,REFERENCE_STIM_268,inf,inf,False,False,False,False,False,False,False,False,True,0,268,inf,CRD009b,A1
0,4.718114,"[[1.04333593]
 [0.7235864 ]]","[[ 0.83200253  0.55477183]
 [-0.55477183  0.83200253]]",[7.92464412 2.1461516 ],0.72830087,[[4.48259704 0.05702044]],3.327639,False,False,False,REFERENCE_STIM_268,inf,inf,False,False,False,False,False,False,False,False,True,0,268,inf,CRD009b,A1
0,3.0190198,"[[-0.45468784]
 [ 0.7012034 ]]","[[ 0.99956035  0.02964978]
 [-0.02964978  0.99956035]]",[7.89814149 2.61336157],0.5885194,[[-3.6989015   1.90697062]],3.0189762,False,True,False,REFERENCE_STIM_268,inf,inf,False,False,False,False,False,False,False,False,True,0,268,inf,CRD009b,A1
0,7.719623,"[[1.75521505]
 [0.94907706]]","[[-0.0198878  -0.99980222]
 [-0.99980222  0.0198878 ]]",[4.941184   0.97464799],0.981406,[[1.7883243  4.82650936]],7.7192993,True,False,True,REFERENCE_STIM_308,inf,inf,False,False,False,False,False,False,False,False,True,0,308,inf,CRD009b,A1
0,7.0467095,"[[1.23909775]
 [0.88229837]]","[[ 0.90753568  0.419975  ]
 [-0.419975    0.90753568]]",[7.99182707 1.43437111],0.96395797,[[ 6.26436824 -0.81089909]],4.83792,False,False,True,REFERENCE_STIM_308,inf,inf,False,False,False,False,False,False,False,False,True,0,308,inf,CRD009b,A1
0,7.097404,"[[-0.88876408]
 [ 1.26367004]]","[[ 0.99385704 -0.11067153]
 [ 0.11067153  0.99385704]]",[7.98310258 1.46396556],0.97993356,[[-6.11801346  1.31358144]],6.9800725,False,True,True,REFERENCE_STIM_308,inf,inf,False,False,False,False,False,False,False,False,True,0,308,inf,CRD009b,A1
0,3.3327463,"[[0.69265783]
 [0.51132907]]","[[-0.22260831 -0.97490796]
 [-0.97490796  0.22260831]]",[6.20303635 2.18960701],0.8612383,[[2.09977668 3.67340638]],3.3309565,True,False,False,REFERENCE_STIM_308,inf,inf,False,False,False,False,False,False,False,False,True,0,308,inf,CRD009b,A1
